,City,Lat,Lon,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
373,Port Blair,11.67,92.75,81.81,80,100,10.8,IN,1593212636
374,Begunitsy,59.59,29.32,66.2,68,0,2.24,RU,1593212637
375,Egvekinot,66.32,-179.17,30.52,97,100,21.68,RU,1593212637
376,Garissa,-0.45,39.64,74.43,78,5,17.22,KE,1593212637
377,Key West,24.56,-81.78,91.4,66,1,12.75,US,1593212377
378,Hirado,33.36,129.55,80.6,88,75,13.87,JP,1593212637
379,Erbil,36.19,44.01,80.6,18,0,2.24,IQ,1593212477
380,Marystown,47.17,-55.15,58.51,82,18,7.27,CA,1593212637
381,Labuhan,-6.88,112.21,74.1,88,35,6.51,ID,1593212637
382,Amapá,1.0,-52.0,73.0,97,100,2.86,BR,1593212637
383,Mier,26.43,-99.15,91.4,55,40,17.22,MX,1593212637
384,Sungai Penuh,-2.08,101.38,64.22,92,96,3.02,ID,1593212638
385,Sambava,-14.27,50.17,71.55,87,22,12.44,MG,1593212638
386,Alice Springs,-23.7,133.88,33.8,59,0,4.7,AU,1593212609
387,Mount Gambier,-37.83,140.77,42.8,87,90,10.29,AU,1593212638
388,Faya,18.39,42.45,77.0,25,66,6.93,SA,1593212638
389,Nicoya,10.15,-85.45,87.8,58,75,16.11,CR,1593212638
390,San Vicente,-26.62,-54.13,46.74,80,100,5.37,AR,1593212638
391,Opuwo,-18.06,13.84,48.74,51,0,4.81,NA,1593212638
392,Saravan,39.72,45.65,71.6,49,20,13.87,AM,1593212638
393,Kumano,34.34,132.59,73.4,88,75,3.36,JP,1593212639
394,Ayan,56.45,138.17,45.81,95,100,4.16,RU,1593212639
395,Shahrud,36.42,54.98,62.38,56,0,15.3,IR,1593212639
396,Labuan,5.28,115.24,78.8,83,75,4.7,MY,1593212639
397,Kwang Binh,17.48,106.6,81.81,75,63,7.09,VN,1593212639
398,Dwārka,22.24,68.97,85.42,79,94,13.89,IN,1593212639
399,Aklavik,68.22,-135.01,55.4,54,75,9.17,CA,1593212639
400,Leh,34.17,77.58,54.25,42,0,5.23,IN,1593212639
401,Dābhol,17.6,73.17,79.21,89,100,4.63,IN,1593212639
402,Marfino,55.7,37.38,73.0,77,0,6.71,RU,1593212406
403,Sabha,27.04,14.43,78.98,21,0,10.25,LY,1593212640
404,Norheimsund,60.37,6.15,68.0,72,17,9.17,NO,1593212640
405,Gračac,44.3,15.85,70.0,82,0,2.33,HR,1593212640
406,Kokopo,-4.35,152.26,82.11,74,18,2.51,PG,1593212640
407,Araceli,10.55,119.99,83.59,73,99,7.56,PH,1593212640
408,Coquimbo,-29.95,-71.34,55.4,76,61,9.17,CL,1593212640
409,Bad Münstereifel,50.55,6.77,66.0,86,100,4.05,DE,1593212640
410,Una,20.82,71.03,84.56,76,83,9.64,IN,1593212640
411,Kinsale,51.71,-8.53,55.99,100,75,8.05,IE,1593212640
412,Magaria,13.0,8.91,84.63,46,100,15.23,NE,1593212641
413,Molango,20.78,-98.72,64.47,100,100,5.41,MX,1593212641
414,Cap Malheureux,-19.98,57.61,70.0,86,23,5.99,MU,1593212641
415,Hamilton,39.18,-84.53,84.99,78,1,8.05,US,1593212470
416,Kushmurun,52.45,64.63,48.16,79,0,11.61,KZ,1593212641
417,São João da Barra,-21.64,-41.05,70.56,81,85,5.3,BR,1593212363
418,Verkhnechusovskiye Gorodki,58.17,57.11,39.42,94,49,3.69,RU,1593212641
419,Huangmei,30.19,116.03,78.3,90,100,2.66,CN,1593212641
420,Rundu,-17.93,19.77,53.6,46,0,1.12,NA,1593212641
421,Sabang,5.89,95.32,81.5,76,96,7.16,ID,1593212642
422,Ugoofaaru,5.67,73.0,80.82,77,100,14.18,MV,1593212642
423,Saryozek,44.36,77.98,63.79,45,100,2.86,KZ,1593212642
424,Arkhara,49.42,130.08,64.58,87,98,3.62,RU,1593212642
425,Krasnyy Chikoy,50.36,108.75,63.55,67,69,2.82,RU,1593212642
426,Klaksvík,62.23,-6.59,51.8,100,100,1.12,FO,1593212642
427,Broome,42.25,-75.83,75.2,44,1,4.7,US,1593212642
428,Umm Bāb,25.21,50.81,88.0,45,1,9.17,QA,1593212642
429,Ukiah,39.15,-123.21,105.8,23,1,6.93,US,1593212178
430,Ostrów Wielkopolski,51.66,17.81,64.99,88,66,6.46,PL,1593212643
431,Kiryat Gat,31.61,34.76,73.99,79,0,1.3,IL,1593212643
432,Bangkalan,-7.05,112.74,75.06,86,49,3.49,ID,1593212643
433,Måløy,61.94,5.11,68.0,77,21,5.82,NO,1593212643
434,Sirte,31.21,16.59,72.3,85,0,8.48,LY,1593212643
435,Muskogee,35.58,-95.33,88.0,58,20,6.93,US,1593212462
436,Chui,-33.7,-53.46,45.16,74,47,5.75,UY,1593212643
437,Chillán,-36.61,-72.1,48.2,93,90,9.17,CL,1593212519
438,Katsuura,35.13,140.3,79.0,88,75,5.82,JP,1593212643
439,Delta del Tigre,-34.76,-56.39,46.4,75,92,3.36,UY,1593212644
440,Saint George,37.1,-113.58,100.4,9,1,6.93,US,1593212405
441,Khovd,48.01,91.64,60.76,49,12,2.3,MN,1593212644
442,Miraflores,19.22,-98.81,77.0,33,40,9.17,MX,1593212644
443,Vila Velha,-20.33,-40.29,73.4,83,82,5.82,BR,1593212414
444,Znamenskoye,57.13,73.83,48.43,94,100,6.38,RU,1593212644
445,Oranjestad,12.52,-70.03,86.0,74,20,19.46,AW,1593212410
446,Lagos,6.58,3.75,73.4,94,75,2.24,NG,1593212544
447,Poconé,-16.26,-56.62,72.68,77,3,6.71,BR,1593212645
448,Alofi,-19.06,-169.92,78.8,69,99,13.87,NU,1593212645
449,San Ramon,37.78,-121.98,89.6,31,1,16.11,US,1593212410
450,Akdepe,42.06,59.38,60.8,51,0,4.7,TM,1593212645
451,Saint Anthony,45.02,-93.22,87.8,40,1,12.75,US,1593212645
452,Diamantino,-14.41,-56.45,76.24,56,39,2.42,BR,1593212645
453,Domoni,-12.26,44.53,74.23,79,35,4.9,KM,1593212645
454,Sampit,-2.53,112.95,72.68,98,98,1.07,ID,1593212645
455,Borazjan,29.27,51.22,85.24,27,0,1.68,IR,1593212646
456,Van Wert,40.87,-84.58,82.99,61,1,9.17,US,1593212646
457,Chifeng,42.27,118.96,67.23,63,72,3.06,CN,1593212646
458,Wagga Wagga,-35.12,147.37,39.99,100,0,6.93,AU,1593212646
459,Half Moon Bay,37.46,-122.43,82.0,60,5,13.87,US,1593212646
460,Sicuani,-14.27,-71.23,49.14,45,0,3.87,PE,1593212646
461,Adrar,20.5,-10.07,97.21,13,33,1.23,MR,1593212646
462,Yumen,40.28,97.2,58.98,69,83,24.32,CN,1593212646
463,Yar-Sale,66.83,70.83,50.88,84,71,3.42,RU,1593212646
464,Pucallpa,-8.38,-74.55,84.2,70,40,5.82,PE,1593212647
465,Smolenka,52.14,113.5,60.8,77,88,2.24,RU,1593212647
466,Dubai,25.26,55.3,98.6,50,91,4.7,AE,1593212647
467,Korla,41.76,86.15,79.0,82,41,1.01,CN,1593212647
468,Hervey Bay,-25.3,152.85,59.0,89,44,5.99,AU,1593212647
469,Saraipali,21.33,83.0,83.16,67,100,1.99,IN,1593212647
470,Tay Ninh,11.3,106.1,76.44,91,100,3.78,VN,1593212647
471,Omsukchan,62.53,155.8,71.6,43,23,6.29,RU,1593212647
472,Petropavlovsk-Kamchatskiy,53.05,158.65,69.8,60,0,2.24,RU,1593212600
473,Krasnyy Tkach,55.47,39.08,62.6,88,0,4.47,RU,1593212647
474,General Roca,-39.03,-67.58,33.8,93,90,3.36,AR,1593212648
475,Soyo,-6.13,12.37,72.88,82,2,9.15,AO,1593212648
476,Svetlaya,46.54,138.33,53.33,94,100,11.7,RU,1593212648
477,San Patricio,19.22,-104.7,82.4,83,90,13.87,MX,1593212648
478,Orvault,47.27,-1.62,62.6,82,40,6.93,FR,1593212648
479,Borogontsy,62.67,131.17,76.39,39,11,3.8,RU,1593212648
480,Perm,58.02,56.29,44.6,87,43,11.18,RU,1593212648
481,Otavi,-19.65,17.33,50.83,42,0,4.79,NA,1593212648
482,Qandala,11.47,49.87,91.42,53,79,1.79,SO,1593212648
483,Nakatsugawa,35.48,137.5,75.0,84,81,4.0,JP,1593212648
484,Anaconda,46.13,-112.94,84.2,17,1,13.87,US,1593212628
485,Béja,36.73,9.18,82.4,94,20,1.81,TN,1593212649
486,Zyryanka,65.75,150.85,73.02,24,14,10.71,RU,1593212649
487,San Juan,-31.54,-68.54,48.18,47,0,5.35,AR,1593212625
488,Malakal,9.53,31.66,74.52,79,78,2.3,SS,1593212649
489,Andenes,69.31,16.12,46.4,87,57,3.36,NO,1593212649
490,Kota Belud,6.35,116.43,75.2,88,20,4.7,MY,1593212649
491,Los Llanos de Aridane,28.66,-17.92,71.6,68,90,18.34,ES,1593212649
492,Lorengau,-2.02,147.27,84.92,71,50,9.71,PG,1593212650
493,Monrovia,6.3,-10.8,77.49,86,100,11.97,LR,1593212650
494,Chumikan,54.72,135.31,45.1,93,100,5.86,RU,1593212650
495,Pakenham,-38.07,145.48,46.0,96,0,2.35,AU,1593212492
496,Port Hedland,-20.32,118.57,51.8,50,0,3.36,AU,1593212650
497,Suicheng,33.9,117.93,84.0,43,55,18.99,CN,1593212650
498,Tucuruí,-3.77,-49.67,77.4,71,21,3.04,BR,1593212650
499,Mehrān,33.12,46.16,71.6,13,0,4.7,IR,1593212650
500,Flinders,-34.58,150.86,53.01,78,52,3.0,AU,1593212650
501,Gewanē,10.17,40.65,87.46,17,56,4.59,ET,1593212650
502,Quelimane,-17.88,36.89,68.0,94,0,3.36,MZ,1593212651
503,Colomi,-17.35,-65.87,66.2,37,20,13.87,BO,1593212651
504,Kindu,-2.95,25.95,69.39,92,23,1.83,CD,1593212651
505,Manggar,-2.88,108.27,80.42,82,74,10.2,ID,1593212651
506,Shestakovo,56.49,103.96,67.08,72,33,1.68,RU,1593212479
507,Mergen,49.18,125.22,64.35,85,92,4.03,CN,1593212651
508,Coahuayana Viejo,18.73,-103.68,77.27,84,100,1.7,MX,1593212651
509,Merrill,45.18,-89.68,78.01,73,40,10.29,US,1593212651
510,Herat Province,34.5,62.0,77.0,38,0,11.41,AF,1593212652
511,Tazovsky,67.47,78.7,53.17,76,81,15.21,RU,1593212652
512,Taltal,-25.4,-70.48,57.4,75,16,5.37,CL,1593212652
513,Maniitsoq,65.42,-52.9,40.87,87,18,9.95,GL,1593212652
514,Boddam,57.47,-1.78,60.01,100,90,3.36,GB,1593212652
515,Örnsköldsvik,63.29,18.72,62.6,82,3,2.24,SE,1593212652
516,Tahe,52.33,124.73,67.89,58,0,2.59,CN,1593212652
517,Matara,5.95,80.54,78.17,88,70,9.06,LK,1593212652
518,Ligaya,12.66,120.89,81.52,74,100,3.47,PH,1593212652
519,Naryan-Mar,67.67,53.09,42.78,81,100,2.71,RU,1593212652
520,Maddagiri,13.66,77.21,74.39,81,54,8.1,IN,1593212653
521,Digha,21.68,87.55,84.04,82,100,19.44,IN,1593212653
522,Sørland,67.67,12.69,51.58,83,75,16.02,NO,1593212653
523,Sola,-13.88,167.55,80.64,84,26,20.62,VU,1593212653
524,Cayenne,4.93,-52.33,80.6,88,82,4.7,GF,1593212525
525,De-Kastri,51.47,140.78,54.75,85,100,2.73,RU,1593212653
526,Murray Bridge,-35.12,139.27,51.01,75,0,8.34,AU,1593212653
527,Garoowe,8.41,48.48,83.82,44,100,27.54,SO,1593212653
528,Moorhead,46.87,-96.77,84.2,39,1,11.41,US,1593212654
529,Tura,25.52,90.22,73.02,99,100,9.08,IN,1593212654
530,Qui Nhon,13.77,109.23,80.28,78,80,4.29,VN,1593212448
531,Meadow Lake,34.8,-106.54,93.0,9,75,3.36,US,1593212407
532,Morón,-34.65,-58.62,51.01,63,100,1.88,AR,1593212417
533,Juegang,32.32,121.19,79.0,95,100,5.75,CN,1593212654
534,Birao,10.28,22.79,76.12,76,95,3.09,CF,1593212654
535,Córdoba,-31.41,-64.18,50.0,36,1,11.41,AR,1593212654
536,Yambio,4.57,28.4,67.21,97,100,4.41,SS,1593212654
537,Aleppo Governorate,36.25,37.5,72.39,66,0,15.55,SY,1593212655
538,Ola,59.58,151.28,53.98,76,42,11.59,RU,1593212655
539,Shagonar,51.53,92.8,59.22,71,37,1.28,RU,1593212655
540,Talnakh,69.49,88.4,59.0,82,100,6.71,RU,1593212655
541,Cabedelo,-6.98,-34.83,73.4,94,80,4.7,BR,1593212655
542,Lashio,22.93,97.75,68.67,100,100,2.21,MM,1593212655
543,Asău,46.43,26.4,55.99,93,5,1.95,RO,1593212655
544,Charter Township of Clinton,42.59,-82.92,82.0,51,75,9.17,US,1593212537
545,Pemagatsel,27.03,91.43,62.11,100,100,1.07,BT,1593212655
546,Itajobi,-21.32,-49.05,71.13,77,85,1.16,BR,1593212656
547,Cliza,-17.6,-65.93,66.2,37,20,13.87,BO,1593212656
548,Mporokoso,-9.37,30.12,59.25,81,34,4.32,ZM,1593212656
549,Vredendal,-31.67,18.5,52.07,81,0,6.8,ZA,1593212656
550,Lexington,37.99,-84.48,84.99,54,1,12.75,US,1593212503
551,Zhigansk,66.77,123.37,73.74,40,69,3.27,RU,1593212656
552,Namatanai,-3.67,152.43,79.72,83,72,8.14,PG,1593212656
553,Alexandria,31.22,29.96,73.69,86,0,9.35,EG,1593212656
554,Mahon,39.89,4.27,71.6,88,40,9.17,ES,1593212497
555,Natal,-5.79,-35.21,75.2,100,75,10.29,BR,1593212657
556,Kisangani,0.52,25.2,69.51,96,43,1.59,CD,1593212657
557,Biak,-0.91,122.88,75.33,87,100,4.94,ID,1593212657
558,Norrtälje,59.76,18.7,69.01,79,66,6.26,SE,1593212438
559,Levice,48.22,18.61,70.0,88,0,5.01,SK,1593212657
560,Rochegda,62.8,43.25,52.75,90,70,6.58,RU,1593212657
561,Markova,48.68,24.41,59.32,86,96,4.72,UA,1593212657
562,Zhuanghe,39.7,122.99,70.34,77,5,8.5,CN,1593212657
563,Kaka,37.35,59.61,82.22,24,84,4.07,TM,1593212658
564,Empório,40.48,21.55,62.6,77,63,4.7,GR,1593212658
565,Belyy Yar,53.6,91.39,55.4,93,69,3.0,RU,1593212658
566,Çine,37.61,28.06,73.4,78,0,2.24,TR,1593212658
567,Naze,28.37,129.48,80.6,94,75,16.11,JP,1593212658
568,Kamakwie,9.5,-12.23,75.42,93,45,3.91,SL,1593212658
569,Marabá,-5.37,-49.12,78.8,78,16,0.92,BR,1593212521
570,Cascais,38.7,-9.42,68.0,96,25,8.66,PT,1593212606
571,Ürümqi,43.8,87.6,73.4,40,3,4.47,CN,1593212658
572,Pitimbu,-7.47,-34.81,73.4,94,90,4.7,BR,1593212659
573,Tasiilaq,65.61,-37.64,41.0,86,98,3.36,GL,1593212659
574,Bundaberg,-24.85,152.35,63.0,82,40,6.93,AU,1593212659
575,Novoorsk,51.38,58.98,42.8,93,42,11.18,RU,1593212659
576,Jumla,29.27,82.18,58.05,70,68,0.36,NP,1593212659
577,Awjilah,29.11,21.29,77.05,49,0,8.48,LY,1593212659
578,Ambunti,-4.24,142.84,82.04,76,71,0.58,PG,1593212659
579,Stornoway,58.21,-6.39,57.99,87,91,6.93,GB,1593212659
580,Pallisa,1.15,33.71,66.63,88,75,1.72,UG,1593212660
581,Fairbanks,64.84,-147.72,66.99,39,40,4.7,US,1593212660
582,Porosozero,62.72,32.73,59.56,90,81,5.46,RU,1593212660
583,Husavik,66.04,-17.34,48.2,93,75,6.93,IS,1593212660
584,Gayéri,12.65,0.49,93.97,30,89,4.9,BF,1593212660
