,City,Latitude,Longitude,Maximum Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
357,Walvis Bay,-22.9575,14.5053,70.0,77,60,6.91,NA,1611262700
358,Buala,-8.145,159.5921,81.5,66,93,8.55,SB,1611262700
359,Lethem,3.3803,-59.7968,89.83,46,40,10.27,GY,1611262700
360,Eagle Pass,28.7091,-100.4995,63.0,63,40,7.31,US,1611262700
361,Chastyye,57.2888,54.9728,4.73,94,100,4.76,RU,1611262700
362,Newcastle,-32.9272,151.7765,70.0,88,0,5.75,AU,1611262701
363,Palmerston,-12.486,130.9833,84.2,79,75,5.75,AU,1611262701
364,Lae,-6.7221,146.9847,73.4,94,40,4.61,PG,1611262502
365,Östersund,63.1792,14.6357,24.01,100,90,18.41,SE,1611262702
366,Hithadhoo,-0.6,73.0833,81.86,75,77,10.8,MV,1611262702
367,Urubichá,-15.3833,-62.95,86.67,48,79,3.36,BO,1611262702
368,Quatre Cocos,-20.2078,57.7625,79.0,78,20,10.36,MU,1611262509
369,Agía Galíni,35.1,24.6833,50.0,83,57,0.87,GR,1611262702
370,Lixouri,38.2019,20.4314,55.38,75,82,11.92,GR,1611262702
371,Altamont,42.2068,-121.7372,45.0,52,90,3.44,US,1611262702
372,Baixa Grande,-11.9597,-40.1681,80.53,53,94,10.58,BR,1611262703
373,Taber,49.8167,-112.1518,33.8,51,0,8.05,CA,1611262637
374,Hinton,53.4001,-117.5857,17.6,53,13,3.44,CA,1611262703
375,Apucarana,-23.5508,-51.4608,84.2,70,40,5.75,BR,1611262703
376,Letpadan,17.7833,95.75,65.66,70,0,4.88,MM,1611262703
377,Chipata,-13.6333,32.65,67.28,91,100,0.69,ZM,1611262703
378,Gimli,50.6336,-96.9907,1.4,66,97,10.36,CA,1611262703
379,Goderich,43.7501,-81.7165,35.6,75,100,13.8,CA,1611262703
380,Niagara Falls,43.1001,-79.0663,37.99,75,90,19.57,CA,1611262622
381,Zyryanka,65.75,150.85,-43.69,80,39,1.43,RU,1611262704
382,Xiaoweizhai,26.1903,107.5125,45.14,87,98,3.87,CN,1611262704
383,Solnechnyy,50.7214,136.6319,-9.71,88,95,1.88,RU,1611262704
384,Poum,-20.2333,164.0167,78.94,73,99,10.4,NC,1611262704
385,Latung,5.5,120.8833,81.81,72,98,1.7,PH,1611262704
386,Port Victoria,0.0939,33.9756,73.4,73,88,7.96,KE,1611262704
387,Khovd,48.0056,91.6419,6.69,87,0,1.03,MN,1611262704
388,Lüderitz,-26.6481,15.1594,75.65,54,15,15.39,NA,1611262704
389,Fukuechō,32.6881,128.8419,61.38,87,98,9.31,JP,1611262704
390,Mongar,27.2747,91.2396,37.27,84,1,5.57,BT,1611262704
391,Qaqortoq,60.7167,-46.0333,23.0,58,20,4.61,GL,1611262705
392,Touros,-5.1989,-35.4608,82.4,65,20,14.97,BR,1611262705
393,Lavrentiya,65.5833,-171.0,19.45,97,100,12.93,RU,1611262705
394,Rossland,49.0831,-117.8022,21.99,91,82,2.95,CA,1611262705
395,La Rioja,42.25,-2.5,48.2,87,0,6.91,ES,1611262705
396,Sovetskiy,61.3614,63.5842,-11.43,89,100,8.88,RU,1611262705
397,Puerto Suárez,-18.95,-57.8,86.0,79,90,0.6,BO,1611262705
398,Jatibonico,21.9419,-79.17,76.66,61,28,11.54,CU,1611262705
399,Kamaishi,39.2667,141.8833,38.62,75,93,6.96,JP,1611262706
400,Caravelas,-17.7125,-39.2481,78.4,68,3,6.67,BR,1611262706
401,Jambi City,-1.6,103.6167,73.09,98,82,1.97,ID,1611262706
402,Sosnovo-Ozerskoye,52.5249,111.5418,-10.53,89,98,2.46,RU,1611262706
403,Okhotsk,59.3833,143.3,-8.46,83,100,11.79,RU,1611262706
404,Wakkanai,45.4094,141.6739,25.56,85,22,19.19,JP,1611262706
405,Karratha,-20.7377,116.8463,82.15,71,94,3.27,AU,1611262706
406,Honningsvåg,70.9821,25.9704,23.0,63,40,14.97,NO,1611262707
407,Sioux Lookout,50.1001,-91.917,-0.4,65,90,18.41,CA,1611262707
408,Bereda,43.2686,-7.5406,48.0,93,99,8.99,ES,1611262707
409,Coos Bay,43.3665,-124.2179,62.01,62,75,5.75,US,1611262629
410,New Norfolk,-42.7826,147.0587,64.0,40,100,3.0,AU,1611262707
411,Berdigestyakh,62.0989,126.6992,-54.42,68,97,3.15,RU,1611262707
412,Pangnirtung,66.1451,-65.7125,28.4,59,75,4.61,CA,1611262707
413,Dali,25.7,100.1833,38.7,82,31,2.82,CN,1611262707
414,Mitsamiouli,-11.3847,43.2844,82.76,77,84,14.2,KM,1611262708
415,Derzhavīnsk,51.1,66.3167,-12.95,89,38,8.32,KZ,1611262708
416,Siuna,13.7332,-84.7773,83.77,61,2,8.52,NI,1611262708
417,San Cristobal,7.7669,-72.225,84.2,61,40,11.5,VE,1611262708
418,Fairbanks,64.8378,-147.7164,3.2,85,40,3.94,US,1611262648
419,Tirano,46.2154,10.1679,44.01,68,100,3.33,IT,1611262708
420,Huilong,31.8111,121.655,55.0,95,100,1.01,CN,1611262708
421,Darasun,51.6667,114.0,-9.4,77,55,0.94,RU,1611262708
422,Port Blair,11.6667,92.75,74.7,69,5,6.69,IN,1611262709
423,Bairiki Village,1.3292,172.9752,75.2,100,90,8.05,KI,1611262709
424,Bambous Virieux,-20.3428,57.7575,79.0,78,20,10.36,MU,1611262509
425,Saint-François,46.4154,3.9054,52.0,71,75,11.5,FR,1611262709
426,Autazes,-3.5797,-59.1306,75.51,87,88,4.32,BR,1611262709
427,Arrondissement de Saint-Jean-de-Maurienne,45.1667,6.5833,44.01,57,100,5.01,FR,1611262709
428,Port Keats,-14.25,129.55,81.34,88,100,6.46,AU,1611262709
429,Novobelokatay,55.7062,58.9549,-3.51,90,100,9.64,RU,1611262710
430,São João da Barra,-21.6403,-41.0511,84.2,54,0,13.8,BR,1611262710
431,Erdenet,49.0333,104.0833,9.12,86,5,3.27,MN,1611262710
432,Medvedka,61.1629,46.387,-17.91,87,68,3.58,RU,1611262710
433,Paita,-5.0892,-81.1144,87.8,51,0,16.11,PE,1611262710
434,Solano,38.2333,-121.9511,63.0,31,1,2.1,US,1611262710
435,Dodge City,37.7528,-100.0171,62.6,15,1,5.75,US,1611262710
436,Vijāpur,23.5667,72.75,57.2,77,0,2.3,IN,1611262710
437,Inírida,3.8653,-67.9239,78.04,94,99,3.0,CO,1611262711
438,Bilma,18.6853,12.9164,63.39,27,0,8.28,NE,1611262711
439,Nabire,-3.3667,135.4833,76.15,85,100,2.62,ID,1611262507
440,Tukan,53.8409,57.4552,-6.66,91,100,4.47,RU,1611262711
441,Morant Bay,17.8815,-76.4093,86.0,70,20,12.66,JM,1611262712
442,Vostok,46.4856,135.8833,-10.7,88,0,4.52,RU,1611262712
443,Ayan,56.45,138.1667,-12.98,74,100,12.46,RU,1611262712
444,Zhigansk,66.7697,123.3711,-40.43,80,100,5.17,RU,1611262712
445,Yumen,40.2833,97.2,21.31,71,0,3.4,CN,1611262712
446,Ekhabi,53.5102,142.9671,-4.02,92,100,8.75,RU,1611262712
447,Huarmey,-10.0681,-78.1522,75.74,69,13,12.12,PE,1611262713
448,Santa Isabel Rio Negro,-0.4139,-65.0192,79.68,92,58,1.54,BR,1611262713
449,Praia da Vitória,38.7333,-27.0667,64.4,94,20,7.65,PT,1611262713
450,Kenai,60.5544,-151.2583,32.0,93,90,3.44,US,1611262673
451,Atikokan,48.7555,-91.6216,4.78,91,100,11.9,CA,1611262713
452,Barra,-11.0894,-43.1417,84.34,50,40,3.0,BR,1611262713
453,Biak,-0.9131,122.8766,76.51,79,28,2.68,ID,1611262713
454,George,-33.963,22.4617,66.2,94,90,4.61,ZA,1611262713
455,Troina,37.7854,14.5985,57.0,53,100,3.0,IT,1611262713
456,Mogadishu,2.0371,45.3438,77.99,85,72,20.42,SO,1611262714
457,Abalak,58.1286,68.5944,-8.18,92,100,4.76,RU,1611262714
458,Wanning,18.8003,110.3967,69.91,94,88,6.87,CN,1611262714
459,Hailar,49.2,119.7,-5.15,89,10,8.61,CN,1611262714
460,Sabzawār,36.2126,57.6819,30.24,82,79,11.7,IR,1611262714
461,Babu,24.4167,111.5167,58.73,76,81,4.83,CN,1611262714
462,Vammala,61.3333,22.9,23.0,86,90,11.5,FI,1611262714
463,Kushmurun,52.4503,64.6311,-11.13,88,3,8.03,KZ,1611262714
464,Batemans Bay,-35.7167,150.1833,66.99,87,0,1.99,AU,1611262715
465,Kambove,-10.8764,26.5969,61.41,99,99,3.0,CD,1611262715
466,Tupik,54.4253,119.9327,-28.43,83,16,1.03,RU,1611262715
467,Hambantota,6.1241,81.1185,75.2,100,1,4.61,LK,1611262715
468,Callaway,30.153,-85.5699,66.0,86,100,4.0,US,1611262715
469,Langnau,46.9394,7.7874,42.01,93,75,4.61,CH,1611262715
470,Ayotzintepec,17.6667,-96.1333,84.29,54,3,4.63,MX,1611262715
471,Hazorasp,41.3194,61.0742,19.4,86,100,16.11,UZ,1611262716
472,Faxinal,-24.0003,-51.3194,67.41,99,100,3.69,BR,1611262716
473,Diffa,13.3154,12.6113,64.69,31,0,11.05,NE,1611262716
474,Batticaloa,7.7102,81.6924,77.95,83,100,5.55,LK,1611262716
475,Boa Vista,2.8197,-60.6733,89.6,45,75,8.05,BR,1611262716
476,Kangāvar,34.5043,47.9653,27.63,90,0,4.61,IR,1611262716
477,Luanda,-8.8368,13.2343,78.8,78,20,11.5,AO,1611262716
478,Ketchikan,55.3422,-131.6461,35.6,75,75,11.5,US,1611262717
479,Nouna,12.7333,-3.8667,75.22,17,0,10.76,BF,1611262717
480,Chimoré,-16.9833,-65.1333,89.04,42,41,2.26,BO,1611262717
481,Lorengau,-2.0226,147.2712,80.71,67,100,1.68,PG,1611262717
482,Bethanien,-26.502,17.1583,87.94,29,87,16.8,NA,1611262717
483,Rapid City,44.0805,-103.231,37.4,35,1,23.02,US,1611262464
484,Sabha,27.0377,14.4283,49.93,45,0,7.27,LY,1611262717
485,Xinzhou,38.4092,112.7333,27.95,73,29,1.52,CN,1611262719
486,Pamanukan,-6.2842,107.8106,76.75,87,100,5.61,ID,1611262719
487,Hervey Bay,-25.2986,152.8535,69.01,80,0,3.0,AU,1611262719
488,Butterworth,5.3991,100.3638,77.0,83,20,3.44,MY,1611262719
489,Jalu,29.0331,21.5482,47.98,53,0,9.66,LY,1611262719
490,Fonte Boa,-2.4959,-66.2662,74.55,95,100,0.96,BR,1611262719
491,Qeshm,26.9581,56.2719,66.2,59,0,6.91,IR,1611262719
492,Rocha,-34.4833,-54.3333,77.68,56,0,13.51,UY,1611262586
493,Ostrovnoy,68.0531,39.5131,4.78,92,100,9.31,RU,1611262720
494,Sultānpur,26.2667,82.0667,51.12,50,0,4.83,IN,1611262720
495,Pangai,-19.8,-174.35,77.0,94,90,6.91,TO,1611262720
496,Waitati,-45.75,170.5667,56.77,63,100,2.46,NZ,1611262720
497,Ipixuna,-1.7625,-48.8043,73.4,100,75,3.44,BR,1611262720
498,Bridlington,54.0831,-0.1919,37.99,83,0,8.99,GB,1611262720
499,Miraflores,19.2167,-98.8083,78.8,12,1,5.75,MX,1611262720
500,Beringovskiy,63.05,179.3167,0.5,93,100,9.57,RU,1611262720
501,Port Hawkesbury,45.6169,-61.3485,19.99,73,20,11.5,CA,1611262721
502,Cassilândia,-19.1133,-51.7342,82.2,64,100,3.74,BR,1611262721
503,Arrecife,28.963,-13.5477,66.2,77,20,10.36,ES,1611262721
504,Oriximiná,-1.7656,-55.8661,80.96,81,50,4.05,BR,1611262721
505,Casas Grandes,30.3667,-107.95,48.0,92,69,4.0,MX,1611262721
506,Guangshui,31.6199,113.9978,45.95,67,99,2.08,CN,1611262721
507,Merrill,45.1805,-89.6835,32.0,64,90,17.27,US,1611262692
508,Petropavlovsk-Kamchatskiy,53.0452,158.6483,1.4,85,47,6.71,RU,1611262721
509,Dubbo,-32.25,148.6167,71.6,60,29,8.05,AU,1611262721
510,Aloleng,16.1307,119.7824,78.49,85,100,7.2,PH,1611262721
511,Mugumu,-1.85,34.7,63.1,88,100,0.29,TZ,1611262722
512,Honiara,-9.4333,159.95,80.35,80,98,7.47,SB,1611262503
513,Umba,66.6871,34.3429,-2.06,93,98,10.0,RU,1611262722
514,Blagoyevo,63.3667,47.9167,-12.77,89,90,3.96,RU,1611262722
515,Longonjo,-12.9067,15.2533,62.78,63,95,2.8,AO,1611262722
516,Rusape,-18.5278,32.1284,62.53,96,100,5.99,ZW,1611262722
517,Pacific Grove,36.6177,-121.9166,57.2,58,1,5.75,US,1611262722
518,Pemangkat,1.1667,108.9667,77.02,89,100,7.23,ID,1611262722
519,Saquena,-4.6667,-73.5167,84.87,57,32,3.33,PE,1611262723
520,Beberibe,-4.1797,-38.1306,82.4,78,20,9.22,BR,1611262505
521,Waipawa,-41.4122,175.5153,63.0,67,16,6.91,NZ,1611262723
522,Rurrenabaque,-14.4413,-67.5278,93.2,55,40,5.14,BO,1611262724
523,Waddān,29.1614,16.139,51.35,44,0,11.72,LY,1611262724
524,Malchin,53.7333,12.7833,42.01,75,75,9.22,DE,1611262724
525,Jati,24.3539,68.2671,64.2,92,0,10.02,PK,1611262725
526,Yangi Marg`ilon,40.4272,71.7189,37.4,70,100,4.61,UZ,1611262725
527,Havre-St-Pierre,50.2334,-63.5986,5.0,61,1,2.3,CA,1611262582
528,Ust-Kuyga,70.0167,135.6,-28.68,82,100,7.74,RU,1611262725
529,Say,13.1007,2.3689,80.6,12,19,8.05,NE,1611262725
530,Al Bardīyah,31.7561,25.0865,54.03,57,1,5.44,LY,1611262725
531,Maraã,-1.8333,-65.3667,79.88,90,35,0.74,BR,1611262725
532,Nizhneangarsk,55.7833,109.55,-8.46,88,99,3.06,RU,1611262725
533,Pendleton,45.6721,-118.7886,35.01,86,90,6.91,US,1611262726
534,Foça,38.6703,26.7566,53.6,66,20,11.5,TR,1611262726
535,Kununurra,-15.7667,128.7333,80.6,100,75,1.14,AU,1611262675
536,Caruray,10.3094,119.0128,77.58,86,96,4.94,PH,1611262726
537,Valdivia,-39.8142,-73.2459,87.8,40,0,12.66,CL,1611262726
538,Sikasso,10.9167,-7.0,76.6,17,57,5.82,ML,1611262726
539,Anacortes,48.5126,-122.6127,45.0,81,90,3.44,US,1611262546
540,Lakes Entrance,-37.8811,147.981,68.0,69,58,4.38,AU,1611262726
541,Ranong,9.9658,98.6348,70.54,86,4,3.27,TH,1611262726
542,Houma,29.5958,-90.7195,75.0,73,75,9.22,US,1611262718
543,Aden,12.7794,45.0367,75.67,67,28,10.33,YE,1611262655
544,Inhambane,-23.865,35.3833,74.28,81,17,9.78,MZ,1611262727
545,Riyadh,24.6877,46.7219,46.4,46,0,8.05,SA,1611262519
